"IRIweek","SKU.","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","month","season","V17"
647,125,1,0,3.346,3.29,3.29,0,"STP","B","RG","LR",0,0,1,"winter",1.26319275645576
647,126,0,0,1.967,0,0,0,"STP","F","RG","SM",0,0,1,"winter",0.404108633746687
647,130,0,3,1.826,0,0,0,"TSN","S","RG","MD",0,0,1,"winter",0.523018131031893
647,131,1,1,2.59,2.59,2.59,0,"TSN","S","RG","LR",0,0,1,"winter",1.40100186660552
648,16,0,0,1.19,0,0,0,"ARM","S","RG","SM",0,0,2,"winter",0.352346815686388
648,17,0,2,2.041,0,0,0,"ARM","S","RG","MD",0,0,2,"winter",0.250386868284991
648,19,0,1,3.102,0,0,0,"ARM","S","RG","LR",0,0,2,"winter",-0.0243439048347864
648,20,1,0,6.178,5.99,5.99,0,"BNC","S","RG","XL",0,0,2,"winter",1.37236057410008
648,23,0,2,2.821,0,0,0,"BNC","S","RG","MD",0,4,2,"winter",0.214841229075289
648,25,2,2,1.69,1.69,1.69,0,"BNC","S","ST","SM",0,0,2,"winter",1.56300651635687
648,26,0,2,2.818,0,0,0,"BNC","S","ST","MD",0,0,2,"winter",0.140802361287688
648,27,0,2,3.876,0,0,0,"BNC","S","ST","LR",0,4,2,"winter",0.129846234703649
648,29,0,0,2.821,0,0,0,"BNC","S","UN","MD",4,0,2,"winter",0.109090822355962
648,30,2,1,0.99,0.99,0.99,0,"CLF","S","RG","SM",0,0,2,"winter",1.47545373367592
648,31,0,0,1.29,0,0,0,"CLF","S","RG","SM",0,0,2,"winter",0.31189046369377
648,32,2,0,1.79,1.79,1.79,0,"CLF","S","RG","MD",0,0,2,"winter",1.36586472145871
648,34,1,0,5.218,5.39,5.39,0,"DWN","B","RG","XL",0,0,2,"winter",1.32919213306403
648,35,2,1,1.29,1.29,1.29,0,"DWN","B","RG","SM",0,0,2,"winter",1.27007563516587
648,36,1,0,1.79,1.79,1.79,0,"DWN","B","RG","SM",0,0,2,"winter",1.31068037674962
648,37,2,1,3.19,2.49,3.19,0.7,"DWN","B","RG","MD",4,0,2,"winter",5.05237331757809
